           N LOWER =  3  N UPPER=  6  WAVELENGTH (angstroms)= 10941.16
                electronic density(1/cm**3)       3.162E+19
                conversion factor for wlengths=f0 1.251E+04
                wings factor                  =   2.785E-01

  6.310E+03  4.528E-09 ( 4.528E-09 )  4.516E-09 ( 4.516E-09 )  4.510E-09 ( 4.510E-09 )
  1.000E+04  1.803E-09 ( 1.803E-09 )  1.798E-09 ( 1.798E-09 )  1.796E-09 ( 1.796E-09 )
  1.585E+04  7.178E-10 ( 7.178E-10 )  7.158E-10 ( 7.158E-10 )  7.149E-10 ( 7.149E-10 )
  2.512E+04  2.857E-10 ( 2.857E-10 )  2.850E-10 ( 2.850E-10 )  2.846E-10 ( 2.846E-10 )
  3.981E+04  1.138E-10 ( 1.138E-10 )  1.135E-10 ( 1.135E-10 )  1.133E-10 ( 1.133E-10 )
  6.310E+04  4.529E-11 ( 4.529E-11 )  4.517E-11 ( 4.517E-11 )  4.511E-11 ( 4.511E-11 )
  1.000E+05  1.803E-11 ( 1.803E-11 )  1.798E-11 ( 1.798E-11 )  1.796E-11 ( 1.796E-11 )
  1.585E+05  7.178E-12 ( 7.178E-12 )  7.158E-12 ( 7.158E-12 )  7.149E-12 ( 7.149E-12 )
  2.512E+05  2.857E-12 ( 2.857E-12 )  2.850E-12 ( 2.850E-12 )  2.846E-12 ( 2.846E-12 )
  3.981E+05  1.138E-12 ( 1.138E-12 )  1.135E-12 ( 1.135E-12 )  1.133E-12 ( 1.133E-12 )

T(K)                1.259E+06
RO/Debye            1.424E-01
width Stark         3.478E-01
width incl.Dop.     3.478E-01

  0.000E+00  3.224E-01 ( 3.224E-01 )
  3.981E-02  2.945E-01 ( 2.945E-01 )
  6.310E-02  2.795E-01 ( 2.795E-01 )
  1.000E-01  2.578E-01 ( 2.578E-01 )
  1.585E-01  2.280E-01 ( 2.280E-01 )
  2.512E-01  1.900E-01 ( 1.900E-01 )
  3.981E-01  1.462E-01 ( 1.462E-01 )
  6.310E-01  1.018E-01 ( 1.018E-01 )
  1.000E+00  6.346E-02 ( 6.346E-02 )
  1.585E+00  3.541E-02 ( 3.541E-02 )
  2.512E+00  1.793E-02 ( 1.793E-02 )
  3.981E+00  8.403E-03 ( 8.403E-03 )
  6.310E+00  3.724E-03 ( 3.724E-03 )
  1.000E+01  1.589E-03 ( 1.589E-03 )
  1.585E+01  6.610E-04 ( 6.610E-04 )
  2.512E+01  2.706E-04 ( 2.706E-04 )
  3.981E+01  1.096E-04 ( 1.096E-04 )
  6.310E+01  4.414E-05 ( 4.414E-05 )
  1.000E+02  1.770E-05 ( 1.770E-05 )
  1.585E+02  7.077E-06 ( 7.077E-06 )
  2.512E+02  2.825E-06 ( 2.825E-06 )
  3.981E+02  1.127E-06 ( 1.127E-06 )
  6.310E+02  4.491E-07 ( 4.491E-07 )
  1.000E+03  1.789E-07 ( 1.789E-07 )
  1.585E+03  7.125E-08 ( 7.125E-08 )
  2.512E+03  2.837E-08 ( 2.837E-08 )
  3.981E+03  1.130E-08 ( 1.130E-08 )
  6.310E+03  4.498E-09 ( 4.498E-09 )
  1.000E+04  1.791E-09 ( 1.791E-09 )
  1.585E+04  7.130E-10 ( 7.130E-10 )
  2.512E+04  2.839E-10 ( 2.839E-10 )
  3.981E+04  1.130E-10 ( 1.130E-10 )
  6.310E+04  4.499E-11 ( 4.499E-11 )
  1.000E+05  1.791E-11 ( 1.791E-11 )
  1.585E+05  7.131E-12 ( 7.131E-12 )
  2.512E+05  2.839E-12 ( 2.839E-12 )
  3.981E+05  1.130E-12 ( 1.130E-12 )
