           N LOWER =  3  N UPPER=  5  WAVELENGTH (angstroms)= 12821.67
                electronic density(1/cm**3)       3.162E+19
                conversion factor for wlengths=f0 1.251E+04
                wings factor                  =   1.998E-01

  1.585E+04  8.243E-10 ( 8.243E-10 )  8.368E-10 ( 8.368E-10 )  8.350E-10 ( 8.350E-10 )
  2.512E+04  3.281E-10 ( 3.281E-10 )  3.331E-10 ( 3.331E-10 )  3.324E-10 ( 3.324E-10 )
  3.981E+04  1.306E-10 ( 1.306E-10 )  1.326E-10 ( 1.326E-10 )  1.323E-10 ( 1.323E-10 )
  6.310E+04  5.201E-11 ( 5.201E-11 )  5.280E-11 ( 5.280E-11 )  5.268E-11 ( 5.268E-11 )
  1.000E+05  2.071E-11 ( 2.071E-11 )  2.102E-11 ( 2.102E-11 )  2.097E-11 ( 2.097E-11 )
  1.585E+05  8.243E-12 ( 8.243E-12 )  8.368E-12 ( 8.368E-12 )  8.350E-12 ( 8.350E-12 )
  2.512E+05  3.281E-12 ( 3.281E-12 )  3.331E-12 ( 3.331E-12 )  3.324E-12 ( 3.324E-12 )
  3.981E+05  1.306E-12 ( 1.306E-12 )  1.326E-12 ( 1.326E-12 )  1.323E-12 ( 1.323E-12 )

T(K)                1.259E+06
RO/Debye            1.424E-01
width Stark         4.501E-01
width incl.Dop.     4.501E-01

  0.000E+00  3.849E-01 ( 3.849E-01 )
  6.310E-02  3.424E-01 ( 3.424E-01 )
  1.000E-01  3.213E-01 ( 3.213E-01 )
  1.585E-01  2.921E-01 ( 2.921E-01 )
  2.512E-01  2.534E-01 ( 2.534E-01 )
  3.981E-01  2.049E-01 ( 2.049E-01 )
  6.310E-01  1.491E-01 ( 1.491E-01 )
  1.000E+00  9.441E-02 ( 9.441E-02 )
  1.585E+00  5.171E-02 ( 5.171E-02 )
  2.512E+00  2.510E-02 ( 2.510E-02 )
  3.981E+00  1.121E-02 ( 1.121E-02 )
  6.310E+00  4.763E-03 ( 4.763E-03 )
  1.000E+01  1.967E-03 ( 1.967E-03 )
  1.585E+01  7.996E-04 ( 7.996E-04 )
  2.512E+01  3.222E-04 ( 3.222E-04 )
  3.981E+01  1.292E-04 ( 1.292E-04 )
  6.310E+01  5.167E-05 ( 5.167E-05 )
  1.000E+02  2.063E-05 ( 2.063E-05 )
  1.585E+02  8.224E-06 ( 8.224E-06 )
  2.512E+02  3.277E-06 ( 3.277E-06 )
  3.981E+02  1.306E-06 ( 1.306E-06 )
  6.310E+02  5.201E-07 ( 5.201E-07 )
  1.000E+03  2.071E-07 ( 2.071E-07 )
  1.585E+03  8.245E-08 ( 8.245E-08 )
  2.512E+03  3.283E-08 ( 3.283E-08 )
  3.981E+03  1.307E-08 ( 1.307E-08 )
  6.310E+03  5.203E-09 ( 5.203E-09 )
  1.000E+04  2.072E-09 ( 2.072E-09 )
  1.585E+04  8.247E-10 ( 8.247E-10 )
  2.512E+04  3.283E-10 ( 3.283E-10 )
  3.981E+04  1.307E-10 ( 1.307E-10 )
  6.310E+04  5.204E-11 ( 5.204E-11 )
  1.000E+05  2.072E-11 ( 2.072E-11 )
  1.585E+05  8.247E-12 ( 8.247E-12 )
  2.512E+05  3.283E-12 ( 3.283E-12 )
  3.981E+05  1.307E-12 ( 1.307E-12 )
